,Made Donation in March 2007
659,0.013943851925432682
276,3.539109229677706e-06
263,0.12804841995239258
303,8.649176752410781e-13
83,0.4838237166404724
500,1.0
530,0.2907279133796692
244,1.0679696060833521e-06
249,4.456639115686029e-25
728,7.363440412966327e-10
129,0.9171644449234009
534,1.3408167433226481e-05
317,0.985991895198822
401,0.12804841995239258
696,0.9668038487434387
192,0.031576335430145264
176,2.316964582860237e-06
571,0.9959083795547485
139,5.6140098791956916e-08
423,0.30418336391448975
563,0.9802841544151306
56,0.27452948689460754
528,0.005766700487583876
101,0.12804841995239258
467,4.4442885482887107e-10
382,0.9782416224479675
466,0.1378341019153595
294,1.0679696060833521e-06
512,0.27181610465049744
659,0.013943851925432682
389,0.9391107559204102
487,5.094556443374643e-10
701,0.0921165719628334
419,0.005866128485649824
536,2.533882025090861e-06
240,7.222140538942767e-07
508,4.4049491521036543e-07
515,1.0679696060833521e-06
283,0.1372368037700653
650,0.12804841995239258
65,0.9648962020874023
228,0.01715315505862236
741,3.5421148236736144e-09
297,0.04844427853822708
464,0.00041976149077527225
63,0.0921165719628334
231,0.01579861156642437
28,0.0007858602912165225
248,1.0679696060833521e-06
357,0.004921852145344019
300,0.004398790653795004
726,0.9880703091621399
680,0.0034119405318051577
520,0.6348422765731812
254,3.289546768314722e-08
582,0.02948407456278801
143,0.004526151809841394
98,0.9948286414146423
1,0.00019849586533382535
221,8.269004325711649e-08
352,0.12804841995239258
64,0.17926760017871857
138,0.035676680505275726
745,0.5559306144714355
64,0.17926760017871857
688,0.009617669507861137
623,1.4466091085435506e-12
289,1.9256575001236342e-08
174,0.08954661339521408
690,0.12804841995239258
105,0.0004501709481701255
427,0.11697494238615036
48,7.976270685605691e-12
14,0.12804841995239258
657,2.377701768807583e-08
301,6.151405500531837e-07
455,0.0028430677484720945
579,0.8812321424484253
722,0.028711332008242607
98,0.9948286414146423
491,7.976270685605691e-12
303,8.649176752410781e-13
466,0.1378341019153595
65,0.9648962020874023
300,0.004398790653795004
9,0.020849687978625298
622,0.031576335430145264
323,0.02234342321753502
289,1.9256575001236342e-08
568,0.0029338188469409943
290,0.12804841995239258
156,0.9419878125190735
464,0.00041976149077527225
426,0.010442927479743958
306,1.7035667099207785e-08
4,2.0923277332940415e-08
12,0.0262498389929533
187,0.0060648564249277115
406,0.44023987650871277
96,0.2907279133796692
509,0.0921165719628334
733,0.00046682628453709185
548,0.0006574246217496693
478,0.005336584988981485
501,0.00042018911335617304
127,0.9740089178085327
199,0.5322180986404419
299,0.9865049719810486
162,0.12804841995239258
235,0.0022574381437152624
23,3.075086283388373e-07
473,0.12804841995239258
487,5.094556443374643e-10
683,0.5431789755821228
303,8.649176752410781e-13
309,4.083903007434664e-11
569,0.004175358451902866
34,0.03962766006588936
686,0.9674038290977478
84,2.6933601182665967e-11
733,0.00046682628453709185
537,0.939206063747406
181,0.0001716983679216355
453,0.00013755149848293513
67,0.1761544942855835
161,0.037405822426080704
307,0.001850714790634811
703,0.011621830984950066
181,0.0001716983679216355
246,0.006491343956440687
316,0.07524976879358292
278,0.031576335430145264
346,0.21616613864898682
545,0.12804841995239258
419,0.005866128485649824
694,0.2907279133796692
622,0.031576335430145264
663,8.44667607783424e-24
262,0.005942837800830603
461,1.3526026521049062e-07
373,1.0
233,0.12804841995239258
466,0.1378341019153595
207,0.004526151809841394
263,0.12804841995239258
16,0.004175358451902866
513,0.0002004434063564986
449,0.7911171913146973
429,2.674612771965378e-19
701,0.0921165719628334
632,1.2309213648364903e-09
529,0.9864029884338379
245,9.052835148182226e-10
344,0.048764441162347794
353,0.2942741811275482
241,0.9869851469993591
633,7.446876406902447e-05
624,0.0921165719628334
726,0.9880703091621399
189,0.031576335430145264
138,0.035676680505275726
402,1.0679696060833521e-06
511,0.12019211798906326
590,6.234855839080955e-13
334,0.991025984287262
447,8.188254287233576e-05
119,0.1378341019153595
389,0.9391107559204102
644,0.12804841995239258
423,0.30418336391448975
131,0.004175358451902866
405,1.311892326542885e-12
82,0.12804841995239258
643,0.002493400126695633
156,0.9419878125190735
617,9.34630043047946e-06
574,0.9754760265350342
272,1.1952664635828114e-06
613,0.011574438773095608
545,0.12804841995239258
685,1.0679696060833521e-06
570,0.00024242137442342937
537,0.939206063747406
691,7.446876406902447e-05
85,0.009267645888030529
483,0.006491343956440687
455,0.0028430677484720945
93,0.031576335430145264
744,0.0921165719628334
33,0.006491343956440687
321,1.0
523,4.757266196975252e-06
426,0.010442927479743958
196,0.00014685525093227625
301,6.151405500531837e-07
103,7.446876406902447e-05
224,0.0008086432353593409
454,5.165202765056165e-06
585,0.0008967974572442472
154,0.00025721261044964194
