,Made Donation in March 2007
659,0.18546
276,0.00058
263,0.20268
303,0.00000
83,0.81663
500,0.99969
530,0.28762
244,0.01652
249,0.00000
728,0.00000
129,0.74988
534,0.96217
317,0.06727
401,0.20268
696,0.58442
192,0.22133
176,0.00004
571,0.93811
139,0.00003
423,0.09025
563,0.97083
56,0.25114
528,0.01784
101,0.20268
467,0.00026
382,0.65246
466,0.45790
294,0.01652
512,0.02854
659,0.18546
389,0.75541
487,0.00000
701,0.15314
419,0.00839
536,0.00008
240,0.00001
508,0.00079
515,0.01652
283,0.10280
650,0.20268
65,0.11274
228,0.45646
741,0.00000
297,0.01568
464,0.00340
63,0.15314
231,0.95037
28,0.02592
248,0.01652
357,0.10732
300,0.48066
726,1.00000
680,0.05136
520,0.46721
254,0.00000
582,0.99994
143,0.00513
98,0.99995
1,0.00083
221,0.08598
352,0.20268
64,0.00279
138,0.99157
745,0.75788
64,0.00279
688,0.00010
623,0.00005
289,0.00000
174,0.67803
690,0.20268
105,0.09204
427,0.14818
48,0.00000
14,0.20268
657,0.00000
301,0.83452
455,0.00030
579,0.07024
722,0.06797
98,0.99995
491,0.00000
303,0.00000
466,0.45790
65,0.11274
300,0.48066
9,0.38126
622,0.22133
323,0.00009
289,0.00000
568,0.00306
290,0.20268
156,0.65651
464,0.00340
426,0.23139
306,0.00000
4,0.00886
12,0.80752
187,0.01959
406,0.00612
96,0.28762
509,0.15314
733,0.00000
548,0.00000
478,0.99886
501,0.01194
127,0.99997
199,0.10435
299,0.22554
162,0.20268
235,0.28528
23,0.00072
473,0.20268
487,0.00000
683,0.89296
303,0.00000
309,0.00000
569,0.00948
34,0.28785
686,0.10626
84,0.00000
733,0.00000
537,0.98184
181,0.02987
453,0.00000
67,0.01618
161,0.46819
307,0.11777
703,0.01949
181,0.02987
246,0.07590
316,0.02461
278,0.22133
346,0.35762
545,0.20268
419,0.00839
694,0.28762
622,0.22133
663,0.00004
262,0.43420
461,0.00366
373,0.00272
233,0.20268
466,0.45790
207,0.00513
263,0.20268
16,0.00948
513,0.00000
449,0.51504
429,0.00000
701,0.15314
632,0.00000
529,1.00000
245,0.00000
344,0.72032
353,0.72442
241,0.78695
633,0.01043
624,0.15314
726,1.00000
189,0.22133
138,0.99157
402,0.01652
511,0.03999
590,0.00000
334,0.88586
447,0.00009
119,0.45790
389,0.75541
644,0.20268
423,0.09025
131,0.00948
405,0.00000
82,0.20268
643,0.00000
156,0.65651
617,0.00000
574,0.99966
272,0.01111
613,0.00359
545,0.20268
685,0.01652
570,0.12838
537,0.98184
691,0.01043
85,0.96461
483,0.07590
455,0.00030
93,0.22133
744,0.15314
33,0.07590
321,0.99959
523,0.00000
426,0.23139
196,0.00010
301,0.83452
103,0.01043
224,0.12058
454,0.00001
585,0.00004
154,0.06159
